id,loan_amnt,emp_title,emp_length,annual_inc,home_ownership
75607431,10000,parts sales,10,55000.0,MORTGAGE
76013780,10000,Nursing assistant ,6,32000.0,RENT
76023595,6000,Business Manager,5,58000.0,RENT
76043483,6000,vine worker,1,32000.0,RENT
75728761,7500,Registered Nurse,0,76000.0,RENT
74534763,6500,Clinical Nurse ,0,95000.0,RENT
76113573,2400,Secretary,1,20160.0,RENT
75993728,5000,Strategic Acct Mgr (Sales),10,78000.0,RENT
75204225,12000,Owner,8,92000.0,OWN
75358344,6950,Reverse Mortgage Specialist,2,50000.0,OWN
75273614,2000,security officer,2,24000.0,RENT
75358632,21250,,0,48309.0,MORTGAGE
75698710,25000,Insurance Agent,2,76000.0,OWN
75145075,9000,Lab Tech,3,48000.0,MORTGAGE
75961643,8000,Accounting Manager,0,70000.0,RENT
75302340,5200,Plasterer/Mason,10,40000.0,MORTGAGE
75304212,10000,Wealth Manager,0,85000.0,RENT
74506590,10800,Broadband Tech,10,80000.0,MORTGAGE
75962483,7250,REGISTERED NURSE,3,72000.0,MORTGAGE
73489136,28000,V.P.,10,119000.0,OWN
75359280,12000,Dining Server/Bartender ,10,56000.0,MORTGAGE
76122266,24000,Training specialist ,0,116000.0,MORTGAGE
76093541,28000,Gas Plant Operator,9,85000.0,MORTGAGE
76013990,8500,Tractor trailer op,10,75000.0,MORTGAGE
75973849,5900,Bus Driver,3,21000.0,MORTGAGE
76133211,8400,,0,24000.0,OWN
75165513,5000,Bus driver ,10,62000.0,RENT
76143304,25000,IT Manager,0,110000.0,RENT
75124079,35000,General Manager,10,84000.0,MORTGAGE
76032565,25000,Ecommerce Manager,1,93000.0,MORTGAGE
75973736,20000,Curriculum Specialist,10,72000.0,OWN
75848321,10000,mechanic,6,58000.0,MORTGAGE
75983815,20000,Assembly,10,75000.0,MORTGAGE
75709048,28700,VP Sales,1,205000.0,OWN
75992258,21000,Consultant,10,130000.0,MORTGAGE
75911850,20000,regional Director,1,110000.0,MORTGAGE
75689905,9800,Probation Officer,10,70000.0,RENT
74826201,7200,Mechanic,10,49000.0,MORTGAGE
75943473,25000,Athlete,7,100000.0,RENT
75367976,21000,Office Manager,5,60000.0,RENT
73844134,30000,Accounting Analyst,3,62000.0,MORTGAGE
75819374,16000,Fire fighter,10,69000.0,MORTGAGE
76033553,10000,Professor,5,75000.0,RENT
75933076,10000,Bankru,10,46820.0,MORTGAGE
74845390,11200,Table Games Supervisor,10,80000.0,MORTGAGE
76022124,8200,manager,10,38000.0,MORTGAGE
75670678,12000,Patent Engineer,0,65000.0,RENT
76073786,5000,Nurse Practitioner ,1,112000.0,MORTGAGE
75061745,5000,Crane Operator ,6,75000.0,RENT
75497128,3150,Telecommunications ,10,60000.0,RENT
75991811,30000,Paramedic,10,81000.0,MORTGAGE
76133676,9600,Assistant Chief,10,85000.0,MORTGAGE
75407165,9650,Tax Accountant,10,64000.0,MORTGAGE
75185585,35000,Coiler,3,85000.0,MORTGAGE
76003542,16000,Security specialist ,8,105000.0,RENT
76143999,24000,Account Manager,5,90000.0,MORTGAGE
75151243,2650,Assembler,3,30000.0,RENT
76053640,5600,Armed guard,5,52000.0,MORTGAGE
75740203,10000,lpn/charge nurse,4,52000.0,OWN
75982152,20000,Driver,10,92000.0,MORTGAGE
75680697,10000,,0,49000.0,RENT
75597954,30000,SALES AGENT,2,90000.0,OWN
76133218,9000,AP/Payroll,4,38000.0,RENT
75345179,20775,Customer service associate ,8,96000.0,MORTGAGE
