id,grade,home_ownership,sub_grade,int_rate,mort_acc,is_good_customer
75607431,B,MORTGAGE,B5,11.47,1,yes
76013780,C,RENT,C4,14.46,0,no
76023595,C,RENT,C4,14.46,1,yes
76043483,A,RENT,A4,7.39,0,yes
75728761,C,RENT,C2,12.99,0,no
74534763,A,RENT,A3,6.97,0,yes
76113573,D,RENT,D2,17.27,0,no
75993728,C,RENT,C3,13.67,0,yes
75204225,C,OWN,C3,13.67,0,yes
75358344,A,OWN,A4,7.39,8,yes
75273614,G,RENT,G3,28.34,0,yes
75358632,E,MORTGAGE,E3,21.18,6,no
75698710,C,OWN,C1,11.99,1,no
75145075,B,MORTGAGE,B3,9.75,1,yes
75961643,B,RENT,B3,9.75,0,yes
75302340,C,MORTGAGE,C5,15.31,2,yes
75304212,B,RENT,B2,9.16,0,no
74506590,C,MORTGAGE,C2,12.99,3,yes
75962483,C,MORTGAGE,C3,13.67,4,yes
73489136,C,OWN,C1,11.99,3,yes
75359280,E,MORTGAGE,E1,19.99,4,no
76122266,C,MORTGAGE,C5,15.31,5,no
76093541,C,MORTGAGE,C1,11.99,3,yes
76013990,C,MORTGAGE,C4,14.46,1,yes
75973849,C,MORTGAGE,C1,11.99,1,yes
76133211,B,OWN,B4,10.75,3,yes
75165513,D,RENT,D2,17.27,4,yes
76143304,E,RENT,E3,21.18,0,no
75124079,D,MORTGAGE,D5,19.53,1,no
76032565,B,MORTGAGE,B5,11.47,4,yes
75973736,B,OWN,B4,10.75,2,yes
75848321,A,MORTGAGE,A5,7.89,1,yes
75983815,C,MORTGAGE,C2,12.99,4,yes
75709048,A,OWN,A4,7.39,1,yes
75992258,D,MORTGAGE,D5,19.53,0,no
75911850,C,MORTGAGE,C3,13.67,1,no
75689905,A,RENT,A4,7.39,0,no
74826201,A,MORTGAGE,A1,5.32,0,yes
75943473,C,RENT,C1,11.99,1,yes
75367976,C,RENT,C2,12.99,0,no
73844134,D,MORTGAGE,D3,18.25,1,yes
75819374,C,MORTGAGE,C4,14.46,1,yes
76033553,C,RENT,C3,13.67,0,no
75933076,C,MORTGAGE,C4,14.46,5,no
74845390,D,MORTGAGE,D5,19.53,1,no
76022124,A,MORTGAGE,A1,5.32,4,yes
75670678,C,RENT,C3,13.67,0,yes
76073786,D,MORTGAGE,D2,17.27,2,yes
75061745,B,RENT,B4,10.75,0,no
75497128,B,RENT,B2,9.16,0,yes
75991811,C,MORTGAGE,C1,11.99,2,yes
76133676,D,MORTGAGE,D1,16.29,3,yes
75407165,C,MORTGAGE,C4,14.46,2,yes
75185585,E,MORTGAGE,E2,20.75,1,yes
76003542,A,RENT,A1,5.32,0,yes
76143999,C,MORTGAGE,C5,15.31,6,yes
75151243,B,RENT,B5,11.47,0,yes
76053640,D,MORTGAGE,D1,16.29,0,no
75740203,D,OWN,D5,19.53,0,yes
75982152,C,MORTGAGE,C4,14.46,3,yes
75680697,C,RENT,C4,14.46,0,no
75597954,B,OWN,B4,10.75,0,no
76133218,C,RENT,C2,12.99,0,no
75345179,B,MORTGAGE,B1,8.39,8,yes
73458582,C,MORTGAGE,C5,15.31,2,yes
75304067,C,RENT,C1,11.99,0,no
76063566,B,OWN,B3,9.75,0,yes
74694701,C,RENT,C1,11.99,0,yes
75933265,A,RENT,A4,7.39,4,yes
75089411,B,RENT,B5,11.47,1,no
76053479,D,MORTGAGE,D1,16.29,3,no
75719434,E,MORTGAGE,E3,21.18,2,yes
75869381,A,OWN,A4,7.39,3,yes
76043271,B,RENT,B2,9.16,0,yes
76103464,D,MORTGAGE,D1,16.29,1,yes
76051393,G,MORTGAGE,G5,28.99,0,yes
76142051,E,MORTGAGE,E3,21.18,6,yes
75973715,C,MORTGAGE,C3,13.67,3,yes
74701816,D,RENT,D1,16.29,0,yes
76052073,A,MORTGAGE,A2,6.49,4,no
76071889,C,RENT,C1,11.99,0,yes
76143578,D,MORTGAGE,D3,18.25,1,yes
774448,B,MORTGAGE,B5,11.47,1,yes
76121800,F,RENT,F5,26.57,0,no
76063361,E,MORTGAGE,E1,19.99,3,no
75739655,B,RENT,B2,9.16,0,yes
75983267,D,MORTGAGE,D2,17.27,4,yes
75952300,A,RENT,A3,6.97,2,yes
75369436,D,RENT,D3,18.25,0,yes
75962178,A,MORTGAGE,A3,6.97,1,yes
75378537,C,RENT,C4,14.46,0,no
75911572,C,MORTGAGE,C4,14.46,6,no
74845969,D,RENT,D2,17.27,1,yes
75221145,B,MORTGAGE,B4,10.75,6,yes
75800999,C,RENT,C1,11.99,1,yes
76111899,C,MORTGAGE,C4,14.46,1,yes
75699956,F,RENT,F5,26.57,0,yes
76143594,D,RENT,D1,16.29,0,yes
75234708,D,MORTGAGE,D5,19.53,5,no
75973125,C,MORTGAGE,C2,12.99,4,yes
75974008,C,OWN,C1,11.99,2,yes
76014232,A,RENT,A4,7.39,1,yes
76113314,B,RENT,B1,8.39,2,yes
75051287,B,RENT,B4,10.75,0,yes
76143682,D,RENT,D1,16.29,0,yes
76011438,C,MORTGAGE,C3,13.67,6,yes
75646296,D,RENT,D4,18.99,0,no
76003379,C,MORTGAGE,C4,14.46,1,yes
75678901,B,MORTGAGE,B4,10.75,2,yes
75859917,C,RENT,C5,15.31,0,no
75942426,C,RENT,C1,11.99,0,yes
76132036,C,MORTGAGE,C4,14.46,6,yes
76022868,B,RENT,B4,10.75,0,no
75740397,A,MORTGAGE,A5,7.89,2,yes
76091983,C,RENT,C1,11.99,0,no
75679763,D,MORTGAGE,D4,18.99,0,no
75051237,C,OWN,C1,11.99,0,no
75933192,B,MORTGAGE,B5,11.47,4,no
75678753,A,OWN,A5,7.89,6,yes
74835980,C,OWN,C3,13.67,0,yes
75142052,C,MORTGAGE,C3,13.67,4,yes
76022334,E,MORTGAGE,E4,21.97,1,no
75303544,C,RENT,C2,12.99,0,no
76132285,C,MORTGAGE,C4,14.46,6,no
76113202,C,MORTGAGE,C2,12.99,3,yes
76073379,C,MORTGAGE,C5,15.31,3,yes
75487314,B,MORTGAGE,B3,9.75,4,no
75818383,D,MORTGAGE,D4,18.99,3,no
76053224,C,MORTGAGE,C3,13.67,4,yes
76053201,C,OWN,C4,14.46,0,yes
76133237,A,MORTGAGE,A1,5.32,2,no
75933085,B,MORTGAGE,B5,11.47,1,yes
75720922,A,MORTGAGE,A1,5.32,2,yes
75700311,A,RENT,A1,5.32,2,yes
76133277,D,RENT,D4,18.99,0,no
76031146,D,RENT,D1,16.29,0,no
76053250,B,MORTGAGE,B1,8.39,2,yes
76092844,D,RENT,D1,16.29,0,yes
